User1_ID,User2_ID,h1_linear,h2_linear,P1,P2,R1_bitsHz,R2_bitsHz,R_sum_bitsHz,Throughput_Mbps,Method
900,1396,1.2979970217950643e-06,1.940316866881716e-05,0.9372983608172513,0.06270163918274868,3.978845642153755,10.249836967013142,14.228682609166896,0.2672053072144018,GNN
1176,1071,1.5418111018397783e-05,0.0002033798321468,0.9295326510141974,0.07046734898580254,3.8256675590444615,13.807016510059038,17.632684069103497,0.33113021726015957,GNN
381,1752,4.687411913454116e-06,3.579459978379044e-05,0.8842100054584696,0.11578999454153038,3.1080695993026892,12.017384872242715,15.125454471545405,0.28404609336235503,GNN
67,659,5.95820072239015e-06,3.986273949943426e-05,0.8699677332340667,0.13003226676593319,2.9414396244553798,12.339973110005364,15.281412734460744,0.28697488703212665,GNN
1045,1652,1.1267868083289204e-05,7.92286583301941e-05,0.8754883913244833,0.12451160867551682,3.0047479280229723,13.2682331506646,16.27298107868757,0.30559588880164457,GNN
497,1164,6.120845678890104e-06,3.890932177809002e-05,0.864072331404548,0.13592766859545205,2.8775916421838987,12.369012024411347,15.246603666595245,0.28632119561681213,GNN
1693,650,2.153664211946073e-06,2.1311527920710317e-05,0.9082187693256162,0.09178123067438383,3.43904650974728,10.934426757987248,14.373473267734528,0.26992438061473295,GNN
162,914,3.78365729963496e-06,3.505943203122831e-05,0.9025912365670511,0.09740876343294885,3.3562767700145018,11.738132769735673,15.094409539750174,0.28346308994836006,GNN
1445,832,1.0210966612845411e-05,6.44673473104346e-05,0.863267311801716,0.13673268819828394,2.8696782412931157,13.105874747994186,15.975552989287301,0.3000103847753484,GNN
110,1303,9.867673079169584e-06,6.228786146474417e-05,0.863244404721801,0.1367555952781991,2.869405735279456,13.056504543002216,15.925910278281671,0.2990781272916746,GNN
1581,1668,3.5013742000809e-06,2.3473719549914044e-05,0.8701997393398658,0.12980026066013417,2.9428758883781954,11.573597447850814,14.516473336229009,0.27260982791040395,GNN
530,285,3.41619736969599e-06,2.77334202993882e-05,0.8903293964636186,0.1096706035363813,3.1853278854857017,11.571060961551868,14.75638884703757,0.27711528351244263,GNN
400,1478,1.3863157661460558e-05,0.0002133470689044,0.9389853270647477,0.06101467293525232,4.033099430042052,13.66825362617093,17.70135305621298,0.33241977570353015,GNN
158,1725,1.4674610210694446e-05,9.753674023341684e-05,0.8692234773700244,0.13077652262997563,2.934171274047329,13.638946708250842,16.57311798229817,0.31123226257836945,GNN
486,1154,9.892316068737446e-06,6.686103342397733e-05,0.8711155130802937,0.12888448691970633,2.9548641900936836,13.073195971572733,16.028060161666417,0.3009964349608717,GNN
1950,995,7.2098128309754204e-06,4.575334163705755e-05,0.8638711590464829,0.13612884095351713,2.875686232277239,12.604865771457874,15.480552003735113,0.29071459161943874,GNN
1592,356,1.3712590157321434e-05,9.103531283527508e-05,0.8690895973517425,0.13091040264825757,2.9326501045709343,13.54091135977567,16.473561464346606,0.309362656607448,GNN
557,122,1.1848835106710434e-05,0.0001174823234935,0.9083837550443845,0.09161624495561548,3.4470461176459004,13.393965453530946,16.841011571176846,0.3162631280972178,GNN
1282,1201,1.4617046945324988e-05,0.0006026764786985,0.9763207512502586,0.023679248749741373,5.396169400085074,13.800892445308152,19.197061845393225,0.3605082036693564,GNN
1515,1839,3.1938189647309496e-06,3.7001407330061614e-05,0.9205423315368989,0.07945766846310105,3.6484475712244846,11.522113416163277,15.170560987387763,0.2848931640823993,GNN
145,1535,6.961383618794022e-06,4.419354817559386e-05,0.8639156895609869,0.1360843104390131,2.876112483574939,12.554360661754187,15.430473145329126,0.2897741435742559,GNN
1623,191,8.440973880611114e-06,5.449637302845864e-05,0.8658829090332261,0.13411709096677388,2.8973320900195914,12.83563497169895,15.73296706171854,0.2954547805017566,GNN
1906,3,1.3781725068258698e-06,3.149675310049315e-05,0.9580783079697969,0.04192169203020323,4.552448538186759,10.367848459375956,14.920296997562716,0.2801933708462482,GNN
589,1121,1.2786071798897315e-05,0.0003172586738401,0.9612595808058016,0.03874041919419832,4.687219841911786,13.585400833264162,18.272620675175947,0.34314780610659057,GNN
